blockwords1.thisRepN,blockwords1.thisTrialN,blockwords1.thisN,blockwords1.thisIndex,blockwords1.ran,audio,imageLoc,participant,session,date,expName,psychopyVersion,OS,frameRate,train1Response.keys,train1Response.rt,blocktest1.thisRepN,blocktest1.thisTrialN,blocktest1.thisN,blocktest1.thisIndex,blocktest1.ran,audioTrue,imageTrue,audioFalse,imageFalse,truePos,falsePos,train1blocks.thisRepN,train1blocks.thisTrialN,train1blocks.thisN,train1blocks.thisIndex,train1blocks.ran,condFiles,testFiles,key_resp_3.keys,key_resp_3.rt,blockloop2.thisRepN,blockloop2.thisTrialN,blockloop2.thisN,blockloop2.thisIndex,blockloop2.ran,train2Response.keys,train2Response.rt,blocktest2.thisRepN,blocktest2.thisTrialN,blocktest2.thisN,blocktest2.thisIndex,blocktest2.ran,train2blocks.thisRepN,train2blocks.thisTrialN,train2blocks.thisN,train2blocks.thisIndex,train2blocks.ran,skipTest1Instr.keys,skipTest1Instr.rt,test1Response.keys,test1Response.rt,test1Loop.thisRepN,test1Loop.thisTrialN,test1Loop.thisN,test1Loop.thisIndex,test1Loop.ran,firstAudio,secondAudio,whichAudio,skipTest2Instr.keys,skipTest2Instr.rt,skipTest3Instr.keys,skipTest3Instr.rt,quit.keys,quit.rt
,,,,,,,test,001,2020-07-27_22h52.10.241,sonorityaoi,2020.1.3,Win32,60,j,1.093035,0,0,0,0,1,trainingaudio/20_tatito1.wav,pngimages/20_pizza.png,trainingaudio/01_kitipi1.wav,pngimages/01_gift.png,0.5,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,test,001,2020-07-27_22h52.10.241,sonorityaoi,2020.1.3,Win32,60,j,1.109935,0,1,1,1,1,trainingaudio/22_kakoki1.wav,pngimages/22_egg.png,trainingaudio/10_tokiti1.wav,pngimages/10_backpack.png,-0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,test,001,2020-07-27_22h52.10.241,sonorityaoi,2020.1.3,Win32,60,f,2.433975,0,2,2,2,1,trainingaudio/18_popata2.wav,pngimages/18_donut.png,trainingaudio/21_papika1.wav,pngimages/21_cheese.png,-0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,test,001,2020-07-27_22h52.10.241,sonorityaoi,2020.1.3,Win32,60,,,,,,,,,,,,,,0,1,1,1,1,aoiConditions/train1Block2.xlsx,aoiConditions/train1Block2Test.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,1,trainingaudio/17_kotako2.wav,pngimages/17_cracker.png,test,001,2020-07-27_22h52.10.241,sonorityaoi,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,trainingaudio/02_pitito3.wav,pngimages/02_pallet.png,test,001,2020-07-27_22h52.10.241,sonorityaoi,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,2,2,1,trainingaudio/16_kokapi2.wav,pngimages/16_icecream.png,test,001,2020-07-27_22h52.10.241,sonorityaoi,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,3,3,1,trainingaudio/04_kitoti2.wav,pngimages/04_ladder.png,test,001,2020-07-27_22h52.10.241,sonorityaoi,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,4,4,1,trainingaudio/26_kapako1.wav,pngimages/26_pineapple.png,test,001,2020-07-27_22h52.10.241,sonorityaoi,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,test,001,2020-07-27_22h52.10.241,sonorityaoi,2020.1.3,Win32,60,j,0.61962,0,0,0,0,1,trainingaudio/17_kotako2.wav,pngimages/17_cracker.png,trainingaudio/02_pitito3.wav,pngimages/02_pallet.png,0.5,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,test,001,2020-07-27_22h52.10.241,sonorityaoi,2020.1.3,Win32,60,j,1.37823,0,1,1,1,1,trainingaudio/26_kapako1.wav,pngimages/26_pineapple.png,trainingaudio/19_papipi1.wav,pngimages/19_burger.png,-0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,test,001,2020-07-27_22h52.10.241,sonorityaoi,2020.1.3,Win32,60,f,0.43323,0,2,2,2,1,trainingaudio/16_kokapi2.wav,pngimages/16_icecream.png,trainingaudio/04_kitoti2.wav,pngimages/04_ladder.png,-0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,test,001,2020-07-27_22h52.10.241,sonorityaoi,2020.1.3,Win32,60,,,,,,,,,,,,,,0,2,2,2,1,aoiConditions/train1Block3.xlsx,aoiConditions/train1Block3Test.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,1,trainingaudio/12_pokika3.wav,pngimages/12_pie.png,test,001,2020-07-27_22h52.10.241,sonorityaoi,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,trainingaudio/15_kopota3.wav,pngimages/15_barrel.png,test,001,2020-07-27_22h52.10.241,sonorityaoi,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,2,2,1,trainingaudio/13_kopopi1.wav,pngimages/13_toast.png,test,001,2020-07-27_22h52.10.241,sonorityaoi,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,3,3,1,trainingaudio/06_titoka3.wav,pngimages/06_tent.png,test,001,2020-07-27_22h52.10.241,sonorityaoi,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,4,4,1,trainingaudio/14_pokoto1.wav,pngimages/14_coffee.png,test,001,2020-07-27_22h52.10.241,sonorityaoi,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,test,001,2020-07-27_22h52.10.241,sonorityaoi,2020.1.3,Win32,60,j,0.68188,0,0,0,0,1,trainingaudio/14_pokoto1.wav,pngimages/14_coffee.png,trainingaudio/15_kopota3.wav,pngimages/15_barrel.png,0.5,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,test,001,2020-07-27_22h52.10.241,sonorityaoi,2020.1.3,Win32,60,f,0.2337,0,1,1,1,1,trainingaudio/12_pokika3.wav,pngimages/12_pie.png,trainingaudio/06_titoka3.wav,pngimages/06_tent.png,0.5,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,test,001,2020-07-27_22h52.10.241,sonorityaoi,2020.1.3,Win32,60,f,0.369975,0,2,2,2,1,trainingaudio/13_kopopi1.wav,pngimages/13_toast.png,trainingaudio/25_tapapi1.wav,pngimages/25_apple.png,-0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,test,001,2020-07-27_22h52.10.241,sonorityaoi,2020.1.3,Win32,60,,,,,,,,,,,,,,0,3,3,3,1,aoiConditions/train1Block4.xlsx,aoiConditions/train1Block4Test.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,1,trainingaudio/07_pitapi2.wav,pngimages/07_suitcase.png,test,001,2020-07-27_22h52.10.241,sonorityaoi,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,trainingaudio/03_kikita3.wav,pngimages/03_box.png,test,001,2020-07-27_22h52.10.241,sonorityaoi,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,2,2,1,trainingaudio/08_tipako2.wav,pngimages/08_bell.png,test,001,2020-07-27_22h52.10.241,sonorityaoi,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,3,3,1,trainingaudio/05_titopo2.wav,pngimages/05_megaphone.png,test,001,2020-07-27_22h52.10.241,sonorityaoi,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,4,4,1,trainingaudio/21_papika1.wav,pngimages/21_cheese.png,test,001,2020-07-27_22h52.10.241,sonorityaoi,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,test,001,2020-07-27_22h52.10.241,sonorityaoi,2020.1.3,Win32,60,j,0.29919,0,0,0,0,1,trainingaudio/07_pitapi2.wav,pngimages/07_suitcase.png,trainingaudio/20_tatito1.wav,pngimages/20_pizza.png,0.5,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,test,001,2020-07-27_22h52.10.241,sonorityaoi,2020.1.3,Win32,60,f,0.28415,0,1,1,1,1,trainingaudio/21_papika1.wav,pngimages/21_cheese.png,trainingaudio/05_titopo2.wav,pngimages/05_megaphone.png,0.5,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,test,001,2020-07-27_22h52.10.241,sonorityaoi,2020.1.3,Win32,60,j,0.66893,0,2,2,2,1,trainingaudio/08_tipako2.wav,pngimages/08_bell.png,trainingaudio/03_kikita3.wav,pngimages/03_box.png,-0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,test,001,2020-07-27_22h52.10.241,sonorityaoi,2020.1.3,Win32,60,,,,,,,,,,,,,,0,4,4,4,1,aoiConditions/train1Block5.xlsx,aoiConditions/train1Block5Test.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,1,trainingaudio/11_tokiko1.wav,pngimages/11_compass.png,test,001,2020-07-27_22h52.10.241,sonorityaoi,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,trainingaudio/18_popata2.wav,pngimages/18_donut.png,test,001,2020-07-27_22h52.10.241,sonorityaoi,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,2,2,1,trainingaudio/24_takopa1.wav,pngimages/24_banana.png,test,001,2020-07-27_22h52.10.241,sonorityaoi,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,3,3,1,trainingaudio/17_kotako2.wav,pngimages/17_cracker.png,test,001,2020-07-27_22h52.10.241,sonorityaoi,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,4,4,1,trainingaudio/23_patoko1.wav,pngimages/23_lemon.png,test,001,2020-07-27_22h52.10.241,sonorityaoi,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,test,001,2020-07-27_22h52.10.241,sonorityaoi,2020.1.3,Win32,60,,,0,0,0,0,1,trainingaudio/23_patoko1.wav,pngimages/23_lemon.png,trainingaudio/17_kotako2.wav,pngimages/17_cracker.png,0.5,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,test,001,2020-07-27_22h52.10.241,sonorityaoi,2020.1.3,Win32,60,j,1.42763,0,1,1,1,1,trainingaudio/11_tokiko1.wav,pngimages/11_compass.png,trainingaudio/18_popata2.wav,pngimages/18_donut.png,-0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,test,001,2020-07-27_22h52.10.241,sonorityaoi,2020.1.3,Win32,60,f,0.7344,0,2,2,2,1,trainingaudio/24_takopa1.wav,pngimages/24_banana.png,trainingaudio/27_pakapa1.wav,pngimages/27_kiwi.png,-0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,test,001,2020-07-27_22h52.10.241,sonorityaoi,2020.1.3,Win32,60,,,,,,,,,,,,,,0,5,5,5,1,aoiConditions/train1Block6.xlsx,aoiConditions/train1Block6Test.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,1,trainingaudio/01_kitipi1.wav,pngimages/01_gift.png,test,001,2020-07-27_22h52.10.241,sonorityaoi,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,trainingaudio/13_kopopi1.wav,pngimages/13_toast.png,test,001,2020-07-27_22h52.10.241,sonorityaoi,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,2,2,1,trainingaudio/15_kopota3.wav,pngimages/15_barrel.png,test,001,2020-07-27_22h52.10.241,sonorityaoi,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,3,3,1,trainingaudio/16_kokapi2.wav,pngimages/16_icecream.png,test,001,2020-07-27_22h52.10.241,sonorityaoi,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,4,4,1,trainingaudio/09_tipata2.wav,pngimages/09_plane.png,test,001,2020-07-27_22h52.10.241,sonorityaoi,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,test,001,2020-07-27_22h52.10.241,sonorityaoi,2020.1.3,Win32,60,j,0.434485,0,0,0,0,1,trainingaudio/01_kitipi1.wav,pngimages/01_gift.png,trainingaudio/16_kokapi2.wav,pngimages/16_icecream.png,0.5,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,test,001,2020-07-27_22h52.10.241,sonorityaoi,2020.1.3,Win32,60,f,0.281225,0,1,1,1,1,trainingaudio/15_kopota3.wav,pngimages/15_barrel.png,trainingaudio/22_kakoki1.wav,pngimages/22_egg.png,0.5,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,test,001,2020-07-27_22h52.10.241,sonorityaoi,2020.1.3,Win32,60,j,0.70918,0,2,2,2,1,trainingaudio/09_tipata2.wav,pngimages/09_plane.png,trainingaudio/13_kopopi1.wav,pngimages/13_toast.png,-0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,test,001,2020-07-27_22h52.10.241,sonorityaoi,2020.1.3,Win32,60,,,,,,,,,,,,,,0,6,6,6,1,aoiConditions/train1Block7.xlsx,aoiConditions/train1Block7Test.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,1,trainingaudio/19_papipi1.wav,pngimages/19_burger.png,test,001,2020-07-27_22h52.10.241,sonorityaoi,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,trainingaudio/14_pokoto1.wav,pngimages/14_coffee.png,test,001,2020-07-27_22h52.10.241,sonorityaoi,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,2,2,1,trainingaudio/10_tokiti1.wav,pngimages/10_backpack.png,test,001,2020-07-27_22h52.10.241,sonorityaoi,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,3,3,1,trainingaudio/08_tipako2.wav,pngimages/08_bell.png,test,001,2020-07-27_22h52.10.241,sonorityaoi,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,4,4,1,trainingaudio/02_pitito3.wav,pngimages/02_pallet.png,test,001,2020-07-27_22h52.10.241,sonorityaoi,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,test,001,2020-07-27_22h52.10.241,sonorityaoi,2020.1.3,Win32,60,f,0.737205,0,0,0,0,1,trainingaudio/19_papipi1.wav,pngimages/19_burger.png,trainingaudio/12_pokika3.wav,pngimages/12_pie.png,-0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,test,001,2020-07-27_22h52.10.241,sonorityaoi,2020.1.3,Win32,60,j,0.60613,0,1,1,1,1,trainingaudio/02_pitito3.wav,pngimages/02_pallet.png,trainingaudio/08_tipako2.wav,pngimages/08_bell.png,-0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,test,001,2020-07-27_22h52.10.241,sonorityaoi,2020.1.3,Win32,60,j,0.202725,0,2,2,2,1,trainingaudio/10_tokiti1.wav,pngimages/10_backpack.png,trainingaudio/14_pokoto1.wav,pngimages/14_coffee.png,0.5,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,test,001,2020-07-27_22h52.10.241,sonorityaoi,2020.1.3,Win32,60,,,,,,,,,,,,,,0,7,7,7,1,aoiConditions/train1Block8.xlsx,aoiConditions/train1Block8Test.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,1,trainingaudio/04_kitoti2.wav,pngimages/04_ladder.png,test,001,2020-07-27_22h52.10.241,sonorityaoi,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,trainingaudio/26_kapako1.wav,pngimages/26_pineapple.png,test,001,2020-07-27_22h52.10.241,sonorityaoi,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,2,2,1,trainingaudio/05_titopo2.wav,pngimages/05_megaphone.png,test,001,2020-07-27_22h52.10.241,sonorityaoi,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,3,3,1,trainingaudio/23_patoko1.wav,pngimages/23_lemon.png,test,001,2020-07-27_22h52.10.241,sonorityaoi,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,4,4,1,trainingaudio/27_pakapa1.wav,pngimages/27_kiwi.png,test,001,2020-07-27_22h52.10.241,sonorityaoi,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,test,001,2020-07-27_22h52.10.241,sonorityaoi,2020.1.3,Win32,60,j,0.580075,0,0,0,0,1,trainingaudio/05_titopo2.wav,pngimages/05_megaphone.png,trainingaudio/24_takopa1.wav,pngimages/24_banana.png,-0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,test,001,2020-07-27_22h52.10.241,sonorityaoi,2020.1.3,Win32,60,j,0.84254,0,1,1,1,1,trainingaudio/04_kitoti2.wav,pngimages/04_ladder.png,trainingaudio/23_patoko1.wav,pngimages/23_lemon.png,0.5,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,test,001,2020-07-27_22h52.10.241,sonorityaoi,2020.1.3,Win32,60,j,0.088365,0,2,2,2,1,trainingaudio/27_pakapa1.wav,pngimages/27_kiwi.png,trainingaudio/26_kapako1.wav,pngimages/26_pineapple.png,-0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,trainingaudio/12_pokika3.wav,pngimages/12_pie.png,test,001,2020-07-27_22h52.10.241,sonorityaoi,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,f,2.07019,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,trainingaudio/03_kikita3.wav,pngimages/03_box.png,test,001,2020-07-27_22h52.10.241,sonorityaoi,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,trainingaudio/26_kapako1.wav,pngimages/26_pineapple.png,test,001,2020-07-27_22h52.10.241,sonorityaoi,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,trainingaudio/05_titopo2.wav,pngimages/05_megaphone.png,test,001,2020-07-27_22h52.10.241,sonorityaoi,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
